Company,Name,Title,Image Links
BCG,Tom Wallack,"Director, Global External Relations & Executive Positioning",https://media.licdn.com/dms/image/v2/C4E03AQHnikA014VJGg/profile-displayphoto-shrink_800_800/profile-displayphoto-shrink_800_800/0/1552447074020?e=1776297600&v=beta&t=jzsuCZ8qx-gBBpxGCisTq_uRaDE3r-K-K5TZfg2Qwjk
BCG,Angelique Bevan,Partnerships & Media Consultant,https://media.licdn.com/dms/image/v2/D4D03AQEUnxjqrgtADw/profile-displayphoto-shrink_200_200/profile-displayphoto-shrink_200_200/0/1704223258248?e=2147483647&v=beta&t=zpO66TsCgKWHCE4ej3KhzZ0VrupA5Y3nhp9jrNyalkI
BCG,Sayra Butterfield,Global Events Marketing Senior Director,https://media.licdn.com/dms/image/v2/D5603AQFfs0LI22rONA/profile-displayphoto-shrink_800_800/profile-displayphoto-shrink_800_800/0/1669834213503?e=1776297600&v=beta&t=y5TIe850hLCuPyFH_zrmG_fwCQFbajAIbJb2sqRu0rY
BCG,Dani Gerard,Global External Relations & Events Director,https://media.licdn.com/dms/image/v2/C4E03AQHmr1TNUo9KPg/profile-displayphoto-shrink_800_800/profile-displayphoto-shrink_800_800/0/1574456742996?e=1776297600&v=beta&t=t4il1gBhg_KMfTXdE4Hl_zW4BeUrRRxo2wJYrNq8eT0
BCG,Licia Minervini,External Relations Director,https://assets.weforum.org/sf_account/image/responsive_small_webp_xz1z0J4bFpk-qTUENW_GvybBazP5xsiCl0MeX9AAqUA.webp
BCG,Shannon Quinn,Global Events Marketing Manager,https://media.licdn.com/dms/image/v2/C4E03AQHmr1TNUo9KPg/profile-displayphoto-shrink_800_800/profile-displayphoto-shrink_800_800/0/1574456742996?e=1776297600&v=beta&t=t4il1gBhg_KMfTXdE4Hl_zW4BeUrRRxo2wJYrNq8eT0
BCG,Qahir Dhanani,Managing Director & Partner,https://web-assets.bcg.com/dims4/default/a1f4884/2147483647/strip/true/crop/500x500+0+0/resize/1000x1000!/format/webp/quality/90/?url=http%3A%2F%2Fboston-consulting-group-brightspot.s3.amazonaws.com%2Fac%2F58%2F28a0599c4b0c917aa471702493f1%2Fqahir-dhanani.jpg
PwC,,,
PwC US,Paul Griggs,US Senior Partner & CEO,https://www.pwc.com/gx/en/contacts/paul-griggs-headshot.jpeg
PwC US,Dan Priest,Chief AI Officer,https://www.pwc.com/us/en/about-us/newsroom/img/dan-priest-headshot.jpg
