Company,Full Name,Title,Image links
KPMG,Matthew (Matt) Miner,"General Counsel & Vice Chair, Legal, Risk Management and Compliance",https://media.licdn.com/dms/image/v2/D5603AQHkIEb-mTQ2yw/profile-displayphoto-shrink_800_800/profile-displayphoto-shrink_800_800/0/1711138295821?e=1776297600&v=beta&t=QhNwaDA_il2lQ-F9Qal948kj6SRnlrc5CrQ4_C1brqg
KPMG,Tim Walsh,Chair and CEO,https://kpmg.com/kpmg-us/content/dam/kpmg/corporate-communications/image/2025/tim-walsh-2025.png
LinkedIn,Blake Lawit,Chief Global Affairs and Legal Officer,https://media.licdn.com/dms/image/v2/D5603AQFOZ34R_BLUFg/profile-displayphoto-scale_200_200/B56ZxNltzyHoAY-/0/1770828273859?e=2147483647&v=beta&t=QGpBT7BuDBlGpgYThcLbVULHahXU9BZuYL9Fg8MLeDE
Lippincott,Michael D'Esopo,CEO,https://media.licdn.com/dms/image/v2/D4E03AQFwdV4Zr8t20w/profile-displayphoto-scale_200_200/B4EZobBhP3JgAY-/0/1761389975052?e=2147483647&v=beta&t=mPLkAxI2EUpNXaSMac6Y-fDqvRQ3zje3_hidZa61bqQ
Lippincott,Taddy Hall,"Senior Partner, Experience Innovation/Strategy",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQC6SpL3Q42598qRAnEkJgXe1TuH_Y1ELK-5Q&s
PMI,Jacek Olczak,CEO,https://www.pmi.com/content/dam/pmicom/global/images/board-of-directors/jacek-olczak-ceo-pmi.jpg?imwidth=2048&imdensity=2
PMI US,Stacey Kennedy,CEO,https://media.licdn.com/dms/image/v2/D4E03AQHRhkZqWRGcEA/profile-displayphoto-shrink_800_800/profile-displayphoto-shrink_800_800/0/1680786248381?e=1776297600&v=beta&t=tmGmkJKprN59cT44QyeyXxkJkndFmDIE4ZxxOb6NfO0
PwC US,Dan Priest,Chief AI Officer,https://www.pwc.com/us/en/about-us/newsroom/img/dan-priest-headshot.jpg
PwC US,Kathryn Kaminsky,Chief Commercial Officer,https://media.licdn.com/dms/image/v2/C5603AQH-fLSEAGDU8w/profile-displayphoto-shrink_200_200/profile-displayphoto-shrink_200_200/0/1654726035803?e=2147483647&v=beta&t=S_tJHORmP_YY6ipewTMX8gS9hW2B1cJM12aXZG6sebw
PwC US,Michelle Horton,Principal,https://media.licdn.com/dms/image/v2/D4D03AQFcvZh2HgecQw/profile-displayphoto-shrink_200_200/profile-displayphoto-shrink_200_200/0/1681781533195?e=2147483647&v=beta&t=YeZ2FJSb7KvSC5BKozr10KhnO5e5lh2c8duM3OgSL9w
PwC US,Paul Griggs,US Senior Partner & CEO,https://www.pwc.com/gx/en/contacts/paul-griggs-headshot.jpeg
Schneider Electric,Aamir Paul,"President, North America Operations",https://www.se.com/us/en/assets/wiztopic/60671086eca0ed09c56b3a63/Aami-Paul-Ex-Frame-dark-IC-490x490-jpg_square.jpg
Stand Together,Brian Hooks,Chairman and CEO,https://cdn.prod.website-files.com/68377138208932db8ed90c34/683fa0552b700bce94464353_Brian%20Hooks.jpg
Verizon,Dan Schulman,CEO,https://www.verizon.com/about/sites/default/files/2023-04/dan_schulman_bio_photo_300x375.jpg
Verizon,Franz Paasche,"Executive Vice President, Corporate Affairs",https://ss7.vzw.com/is/image/VerizonWireless/Leadership%20&%20Board%20of%20Directors%20-%20Leadership%20-%20Franz%20Paasche%20-%2021_9%20(1)?resMode=sharp2&scl=1
West Health,Shelley Lyford,CEO,https://westhealth.org/wp-content/uploads/2019/05/Shelley-Lyford_CCOA_PR_photo.png
